"","Id_Curso","Descripcion","n_curso","Hora","Ronda","weight","Id_Receptor","Id_Emisor"
"305",15,"Cuarto Basico",12,2017-09-08 10:53:07,1,1,444,437
"306",15,"Cuarto Basico",12,2017-09-08 10:57:47,11,10,444,438
"307",15,"Cuarto Basico",12,2017-09-08 10:55:15,5,1,444,445
"308",15,"Cuarto Basico",12,2017-09-08 10:58:53,13,7,444,448
"309",15,"Cuarto Basico",12,2017-09-08 10:54:15,3,6,444,450
"310",15,"Cuarto Basico",12,2017-09-08 10:57:28,10,4,445,430
"311",15,"Cuarto Basico",12,2017-09-08 10:56:16,7,1,445,432
"312",15,"Cuarto Basico",12,2017-09-08 10:59:20,14,2,445,433
"313",15,"Cuarto Basico",12,2017-09-08 11:00:45,17,6,445,434
"314",15,"Cuarto Basico",12,2017-09-08 10:54:54,4,2,445,435
"315",15,"Cuarto Basico",12,2017-09-08 10:57:47,11,1,445,436
"316",15,"Cuarto Basico",12,2017-09-08 10:55:42,6,1,445,437
"317",15,"Cuarto Basico",12,2017-09-08 11:00:09,16,3,445,438
"318",15,"Cuarto Basico",12,2017-09-08 10:55:15,5,0,445,444
"319",15,"Cuarto Basico",12,2017-09-08 10:53:12,1,1,445,448
"320",15,"Cuarto Basico",12,2017-09-08 10:56:45,8,10,445,450
"321",15,"Cuarto Basico",12,2017-09-08 10:57:05,9,5,448,430
"322",15,"Cuarto Basico",12,2017-09-08 10:59:44,15,0,448,432
"323",15,"Cuarto Basico",12,2017-09-08 10:55:15,5,2,448,433
"324",15,"Cuarto Basico",12,2017-09-08 10:56:42,8,3,448,434
"325",15,"Cuarto Basico",12,2017-09-08 10:58:09,12,10,448,435
"326",15,"Cuarto Basico",12,2017-09-08 10:53:35,2,1,448,436
"327",15,"Cuarto Basico",12,2017-09-08 10:59:23,14,0,448,437
"328",15,"Cuarto Basico",12,2017-09-08 10:56:11,7,10,448,438
"329",15,"Cuarto Basico",12,2017-09-08 10:58:43,13,0,448,444
"330",15,"Cuarto Basico",12,2017-09-08 10:53:11,1,1,448,445
"331",15,"Cuarto Basico",12,2017-09-08 11:00:13,16,10,448,450
"332",15,"Cuarto Basico",12,2017-09-08 10:55:43,6,3,450,430
"333",15,"Cuarto Basico",12,2017-09-08 10:55:15,5,1,450,432
"334",15,"Cuarto Basico",12,2017-09-08 10:58:05,12,2,450,433
"335",15,"Cuarto Basico",12,2017-09-08 10:59:49,15,6,450,434
"336",15,"Cuarto Basico",12,2017-09-08 10:54:06,2,2,450,435
"337",15,"Cuarto Basico",12,2017-09-08 10:57:06,9,2,450,436
"338",15,"Cuarto Basico",12,2017-09-08 10:54:52,4,1,450,437
"339",15,"Cuarto Basico",12,2017-09-08 10:59:19,14,0,450,438
"340",15,"Cuarto Basico",12,2017-09-08 10:54:20,3,1,450,444
"341",15,"Cuarto Basico",12,2017-09-08 10:56:35,8,0,450,445
"342",15,"Cuarto Basico",12,2017-09-08 11:00:06,16,0,450,448
